Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
800 Fox Chase Ln,Chattanooga,TN,37343,4/1/2024 0:05,TN0330100,A1,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,24-028688,4,Inactive/Suspended,35.157549,,-85.234552,POINT (-85.234552 35.157549),3
2700 13th Ave,Chattanooga,TN,37407,4/1/2024 0:05,TN0330100,B8,Baker S,91Z,Miscellaneous Information,,24-028600,3,Pending/Possible Leads,35.008179999999996,,-85.27524,POINT (-85.27524 35.00818),7
800 Wheeler Ave,Chattanooga,TN,37406,4/1/2024 0:06,TN0330100,B3,Baker N,91Z,Miscellaneous Information,,24-028591,3,Pending/Possible Leads,35.043269,Wheeler Ave,-85.261958,POINT (-85.261958 35.043269),8
2400 Williams St,Chattanooga,TN,37408,4/1/2024 0:07,TN0330100,A10,Adam S,23A,Pocket Picking,Part 1 Crimes,24-028592,3,Pending/Possible Leads,35.028038,,-85.313953,POINT (-85.313953 35.028038),7
1000 Georgia Ave,Chattanooga,TN,37402,4/1/2024 0:12,TN0330100,A9,Adam S,91Z,Fire,,24-028597,3,Pending/Possible Leads,34.98444069999999,St. Elmo,-85.332043,POINT (-85.332043 34.9844407),7
700 E 11th St,Chattanooga,TN,37403,4/1/2024 0:15,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-028599,2,Cleared by Arrest,35.041389,Martin Luther King,-85.29908,POINT (-85.29908 35.041389),8
Tunnel Blvd & Martin St,Chattanooga,TN,37411,4/1/2024 0:17,TN0330100,C1,Charlie S,520,Weapon Law Violations,Part 1 Crimes,24-028607,2,Cleared by Arrest,35.045725,North Brainerd,-85.236648,POINT (-85.236648 35.045725),9
4300 Dodds Ave,Chattanooga,TN,37407,4/1/2024 0:30,TN0330100,B9,Baker S,23D,Theft From Buildings,Part 1 Crimes,24-028908,3,Pending/Possible Leads,34.990621,Cedar Hill,-85.28696,POINT (-85.28696 34.990621),7
4300 Dodds Ave,Chattanooga,TN,37407,4/1/2024 0:30,TN0330100,B9,Baker S,90J,Trespass Of Real Property,Part 2 Crimes,24-028908,3,Pending/Possible Leads,34.992163,Cedar Hill,-85.286302,POINT (-85.286302 34.992163),7
4800 Ranco Cir,Chattanooga,TN,37363,4/1/2024 0:41,TN0330100,C9,Charlie N,91Z,Miscellaneous Information,,24-028539,3,Pending/Possible Leads,35.070918,,-85.114179,POINT (-85.114179 35.070918),6
400 Tunnel Blvd,Chattanooga,TN,37411,4/1/2024 0:43,TN0330100,C2,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,24-028602,3,Pending/Possible Leads,35.033476,Menlo,-85.24409,POINT (-85.24409 35.033476),
700 N Germantown Rd,Chattanooga,TN,37411,4/1/2024 1:40,TN0330100,C2,Charlie S,91Z,Miscellaneous Information,,24-028615,3,Pending/Possible Leads,35.033061000000004,Menlo,-85.241778,POINT (-85.241778 35.033061),9
3200 15th Ave,Chattanooga,TN,37407,4/1/2024 2:21,TN0330100,B8,Baker S,91Z,Serving Warrant,,24-028621,2,Cleared by Arrest,35.001478,East Lake,-85.276579,POINT (-85.276579 35.001478),7
2300 Lindberg Ave,Chattanooga,TN,37404,4/1/2024 3:02,TN0330100,B6,Baker S,90D,Driving Under The Influence,Part 2 Crimes,24-028624,2,Cleared by Arrest,35.020578,,-85.29203,POINT (-85.29203 35.020578),8
2300 Lindberg Ave,Chattanooga,TN,37404,4/1/2024 3:02,TN0330100,B6,Baker S,90Z,All Other Offenses,Part 2 Crimes,24-028624,2,Cleared by Arrest,35.020727,,-85.291014,POINT (-85.291014 35.020727),8
